country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Brazil,2021-03-22,NA,NA,NA,NA,manually
China,2021-03-22,NA,NA,NA,NA,manually
FrenchPolynesia,2021-03-22,NA,NA,NA,NA,manually
Germany,2021-03-22,NA,NA,NA,NA,manually
Guyana,2021-03-22,NA,NA,NA,NA,manually
Ireland,2021-03-22,0,-3816117,0,-3816117,manually
Malaysia,2021-03-22,NA,NA,NA,NA,manually
Montenegro,2021-03-22,NA,NA,NA,NA,manually
Netherlands,2021-03-22,NA,NA,NA,NA,manually
Oman,2021-03-22,NA,NA,NA,NA,manually
Pakistan,2021-03-22,NA,NA,NA,NA,manually
Scotland,2021-03-22,NA,NA,NA,NA,manually
Tajikistan,2021-03-22,NA,NA,NA,NA,manually
Uzbekistan,2021-03-22,NA,NA,NA,NA,manually
