country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Afghanistan,2021-03-19,NA,NA,NA,NA,fetch
Argentina,2021-03-19,NA,NA,NA,NA,fetch
Bhutan,2021-03-19,NA,NA,NA,NA,NA
Bolivia,2021-03-19,NA,NA,NA,NA,NA
Brazil,2021-03-19,NA,NA,NA,NA,selenium
China,2021-03-19,NA,NA,NA,NA,NA
Colombia,2021-03-19,NA,NA,NA,NA,NA
CostaRica,2021-03-19,NA,NA,NA,NA,NA
Croatia,2021-03-19,NA,NA,NA,NA,selenium
Cuba,2021-03-19,NA,NA,NA,NA,NA
Cyprus,2021-03-19,NA,NA,NA,NA,NA
Dominica,2021-03-19,NA,NA,NA,NA,NA
DominicanRepublic,2021-03-19,NA,NA,NA,NA,NA
Ecuador,2021-03-19,1,-1079566,1,-1079566,selenium
FrenchPolynesia,2021-03-19,NA,NA,NA,NA,NA
Georgia,2021-03-19,NA,NA,NA,NA,NA
Germany,2021-03-19,NA,NA,NA,NA,NA
Grenada,2021-03-19,NA,NA,NA,NA,NA
Guyana,2021-03-19,NA,NA,NA,NA,NA
Honduras,2021-03-19,NA,NA,NA,NA,NA
HongKong,2021-03-19,NA,NA,NA,NA,NA
Iraq,2021-03-19,NA,NA,NA,NA,NA
Israel,2021-03-19,NA,NA,NA,NA,NA
Jamaica,2021-03-19,NA,NA,NA,NA,NA
Japan,2021-03-19,NA,NA,NA,NA,NA
Jordan,2021-03-19,NA,NA,NA,NA,selenium
Kazakhstan,2021-03-19,NA,NA,NA,NA,NA
Kosovo,2021-03-19,NA,NA,NA,NA,NA
Kuwait,2021-03-19,NA,NA,NA,NA,NA
Kyrgyzstan,2021-03-19,NA,NA,NA,NA,NA
Lithuania,2021-03-19,NA,NA,NA,NA,selenium
Luxembourg,2021-03-19,NA,NA,NA,NA,NA
Malaysia,2021-03-19,NA,NA,NA,NA,NA
Maldives,2021-03-19,NA,NA,NA,NA,NA
Malta,2021-03-19,24,-772182,24,-772182,selenium
Moldova,2021-03-19,NA,NA,NA,NA,NA
Montenegro,2021-03-19,NA,NA,NA,NA,NA
Netherlands,2021-03-19,NA,NA,NA,NA,NA
NewCaledonia,2021-03-19,NA,NA,NA,NA,selenium
Oman,2021-03-19,NA,NA,NA,NA,NA
Pakistan,2021-03-19,NA,NA,NA,NA,selenium
Panama,2021-03-19,NA,NA,NA,NA,NA
Paraguay,2021-03-19,NA,NA,NA,NA,NA
Peru,2021-03-19,NA,NA,NA,NA,NA
Philippines,2021-03-19,NA,NA,NA,NA,NA
Poland,2021-03-19,NA,NA,NA,NA,NA
Russia,2021-03-19,NA,NA,NA,NA,NA
SaintVincentandtheGrenadines,2021-03-19,NA,NA,NA,NA,NA
SaudiArabia,2021-03-19,NA,NA,NA,NA,NA
Scotland,2021-03-19,NA,NA,NA,NA,NA
SriLanka,2021-03-19,NA,NA,NA,NA,selenium
Sweden,2021-03-19,NA,NA,NA,NA,NA
Tajikistan,2021-03-19,NA,NA,NA,NA,NA
Thailand,2021-03-19,NA,NA,NA,NA,NA
TheBahamas,2021-03-19,NA,NA,NA,NA,NA
TrinidadandTobago,2021-03-19,NA,NA,NA,NA,NA
US,2021-03-19,NA,NA,NA,NA,NA
Uzbekistan,2021-03-19,NA,NA,NA,NA,NA
Venezuela,2021-03-19,NA,NA,NA,NA,selenium
Vietnam,2021-03-19,NA,NA,NA,NA,NA
